date_transaction,lib1,debit,credit,lib4,lib5
2019-03-26,CARTE X5952 25/03 AUCHAN BAGNOLET,-999.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-03-15,CARTE X5952 14/03 CARREFOUR ROSNY,-146.860000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-03-26,CARTE X5952 25/03 CARREF AULNAY,-55.100000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-03-20,CARTE X5952 19/03 LEROY MERLIN 196,-51.050000,,MATIERES ET FOURNITURES,Petit équipement France
2019-03-25,CARTE X5952 22/03 BABOU,-5.990000,,MATIERES ET FOURNITURES,Petit équipement France
2019-03-15,CARTE X5952 14/03 MAISONS DU MONDE,-869.000000,,MATIERES ET FOURNITURES,Petit équipement France
2019-03-28,CARTE X5952 27/03 DEL ARTE,-24.560000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-03-20,CARTE X5952 19/03 OFFICE DEPOT,-70.420000,,MATIERES ET FOURNITURES,Fournitures de bureau 
2019-03-18,"PRELEVEMENT EUROPEEN 7410725912 DE: Urssaf Ile-de-France (117) ID: FR86ZZZ112534 MOTIF: UR 117000001557478698    FEV 197886 1,78E+13",-3308.000000,,CHARGES SOCIALES PERSONN,Cotisations Urssaf
2019-03-18,"PRELEVEMENT EUROPEEN 7410725921 DE: Urssaf Ile-de-France (117) ID: FR86ZZZ112534 MOTIF: UR 117000001557478698          7886 1,78E+13",-56.000000,,CHARGES SOCIALES PERSONN,Cotisations Urssaf
2019-03-13,CARTE X5952 12/03 CONFORAMA COMMERCE ELECTRONIQUE,-324.860000,,MATIERES ET FOURNITURES,Petit équipement France
2019-03-13,CARTE X5952 12/03 MOBILIERDESIGN  4704976 COMMERCE ELECTRONIQUE,-71.400000,,MATIERES ET FOURNITURES,Petit équipement France
2019-03-15,CARTE X5952 14/03 BRICORAMA,-216.050000,,MATIERES ET FOURNITURES,Fournitures de bureau 
2019-03-13,CARTE X5952 12/03 CDISCOUNT COMMERCE ELECTRONIQUE,-1175.940000,,MATIERES ET FOURNITURES,Fournitures de bureau 
2019-03-08,PRELEVEMENT EUROPEEN 6603390749 DE: MAAF ASSURANCES SA ID: FR38ZZZ452025 MOTIF: Cotisation Assurance 193022832 REF: NUM 193022832 /REF 201905185221,-273.760000,,ASSURANCES,Assurance multirisque
2019-03-13,CARTE X5952 12/03 HIPAYWALLET.COM COMMERCE ELECTRONIQUE,-99.950000,,MATIERES ET FOURNITURES,Petit équipement France
2019-03-20,VIR DS RECRUTEMENT 01&02/19 WB,-4260.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-03-25,PRLV SEPA TOTAL MS I0000001353147-010032529756642019 /INV/F9869861/0087263392 //20190318-SAGR3,-172.830000,,MATIERES ET FOURNITURES,Carburant
2019-03-25,AMAZON PAYMENTS PAYLI2441535/,-179.730000,,MATIERES ET FOURNITURES,Petit équipement France
2019-05-23,VIR KAO ,-2400.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-03-11,PRLV SEPA TOTAL MS I0000001087560-010032527100452019 /INV/F9704001/0087263392 //20190304-SAGR3,-157.880000,,MATIERES ET FOURNITURES,Carburant
2019-01-07,PRLV SEPA FREE TELECOM FHD 844613473 FREE HAUTDEBIT 844613473,-39.990000,,FRAIS POSTE ET TELECOM,Frais de téléphonie
2019-01-24,PRLV SEPA DGFIP 220750560700068841112 TVA-012019-3310CA3,-55164.000000,,DETTE FISCALE ET SOCIALE ,Tva
2019-03-12,BUSINESS DECISION BUSINESS DECISION FRAN,,9072.000000,VENTES PRESTATIONS SERV,Prestations services S.T.
2019-03-14,ADBI 1331 ARTIN CONSULTING,,6336.000000,VENTES PRESTATIONS SERV,Prestations services S.T.
2019-03-05,VIR LEXICO RGLT FACTURE 1306 DU 30 NOVEMBRE,,8772.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-02-21,VIR DEVL HUB PRO SGBDDF1-P-EU2S-003032-0000254672 INV1185,,15210.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-01-31,RELEVE CARTE 22124388,-3144.320000,,,
2019-02-15,VIR SAINT GOBAIN DSI GROUPE 0270021537 /INV/INV1356 31.12.2018,,8998.030000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-01-07,UNT BORDEAUX 120-126 QUAI DE /INV/20190104 C/C05P19004120611,,30936.000000,,
2019-01-24,VIR LUXORY 201812,-8313.120000,,INTERMED ET HONORAIRES,Honoraires  agents sécu-accueil
2019-01-23,CHEQUE 2049102,-8251.200000,,INTERMED ET HONORAIRES,Honoraires commercialisation
2019-01-10,LE PALINURO PARIS,29.800000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-10,PUBAVENUE CAUDRY,156.480000,,PUBLICITE RELATIONS PUBL,Cadeaux
2019-01-15,CHAI Z ELLE PARIS 9,41.700000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-15,LA POSTE L75708 PARIS HAUSSM,37.350000,,FRAIS POSTE ET TELECOM,Frais postaux
2019-01-15,VILLA CESAR PARIS 10,27.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-16,LE TIMGAD COURBEVOIE,34.500000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-16,GOUTU PARIS,9.500000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-17,LPB91 EVRY,31.800000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-24,REM CHQ REF10290R07,,108.000000,,
2019-01-17,BOUYGTEL FAI CB ISSY LES MOU,29.000000,,FRAIS POSTE ET TELECOM,Frais de téléphonie
2019-01-18,SM CASINO CS814 ST MAUR DES,11.160000,,FRAIS DE RÉCEPTIONS,Frais de réception
2018-12-27,SERVICE MEDICAL PARIS,170.930000,,AUTRES CHARGES SOCIALES,Médecine du travail
2019-01-05,PARADIS DU FRUI MARNE LA VAL,92.300000,,FRAIS DE RÉCEPTIONS,Frais de réception
2018-12-26,MACIF ILE DE PARIS,80.000000,,ASSURANCES,Assurance véhicule
2019-01-07,AMAZON PAYMENTS PAYLI2441535,549.230000,,,
2018-12-27,J.M. BRUNEAU VILLEBON SUR,244.740000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-07,AMAZON EU SARL PAYLI2090401,759.000000,,,
2018-12-28,LE FIVE VILLETT AUBERVILLIER,70.000000,,,
2019-01-17,AMAZON PAYMENTS PAYLI2441535,6.480000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-11,AMAZON PAYMENTS PAYLI2441535,17.980000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-17,AMAZON PAYMENTS PAYLI2441535,12.990000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-18,AMAZON PAYMENTS PAYLI2441535,37.980000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-11,AMAZON EU SARL PAYLI2090401,29.970000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-11,AMAZON PAYMENTS PAYLI2441535,12.990000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-10,AMAZON PAYMENTS PAYLI2441535,36.750000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-11,AMAZON PAYMENTS PAYLI2441535,32.730000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-18,AMAZON EU SARL PAYLI2090401,108.880000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-18,AMAZON PAYMENTS PAYLI2441535,198.990000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-11,AMAZON PAYMENTS PAYLI2441535,77.970000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-17,AMAZON PAYMENTS PAYLI2441535,12.990000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-11,AMAZON PAYMENTS PAYLI2441535,13.550000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-18,AMAZON EU SARL PAYLI2090401,108.880000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-06,PUBAVENUE CAUDRY,592.420000,,PUBLICITE RELATIONS PUBL,Cadeaux
2019-01-07,JALLES-JAOUEN PARIS,93.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-14,ELGI PARIS,11.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-08,SNCF INTERNET PARIS 9,175.000000,,VOYAGES ET DEPLACEMENTS,Frais déplacements salariés
2019-01-12,ACTION 4207 MONTIGNY-LE-,41.150000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-12,DEL ARTE PARIS,46.400000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-15,FRANPRIX PARIS,13.570000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-03-29,REM CHQ REF10290R07,,648.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-01-05,"ECH PRET CAP+IN 10934 201056 04 TAUX= 1,70000 INT= 411,03",-12987.810000,,CHARGES D'INTERETS,Intérêts emprunt 450 K€ 
2019-03-28,VIR LAFOURCHETTE SAS 375535701 FC190048 FC190087,,24282.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-03-28,VIR KORBEN 0121000192 /INV/ FC190084/INV/ FC190017,,24600.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-01-12,CARREFOUR TPE MONTIGNY LE,54.850000,,MATIERES ET FOURNITURES,Petit équipement France
2019-02-05, FLUNCH AULNAY S/BOI ,19.900000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-18,VIR EI TECHNOLOGIES FCE 30066-12-19018025106926,,36012.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-01-17,VIR APAVE INV-1167 INV-1265 INV-1266,,34176.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-01-07,REM CHQ REF10290R07,,9828.000000,VENTES PRESTATIONS SERV,Prestations services formation
2019-01-21,REM CHQ REF10290R07,,4704.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-03-15,VIR SAINT GOBAIN DSI GROUPE 0270021806 /INV/FC190039 31.1.2019,,11232.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-01-31, POULET BRAISE LA COURNEUVE ,27.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-30, LE PALINURO PARIS ,44.800000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-02-14, LINKEDINFR 75 PARIS ,29.740000,,AUTRES SERVICES DIVERS,Frais de recrutement
2019-02-12, SNCF ISSY LES MOU ,6.800000,,VOYAGES ET DEPLACEMENTS,Frais déplacements salariés
2019-01-19, LE PRETEXTE PARIS 13 ,44.900000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-24, LE PALINURO PARIS ,25.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-22, LE PALINURO PARIS ,29.800000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-20, AMAZON PAYMENTS PAYLI2441535 ,561.840000,,,
2019-01-22, AMAZON PAYMENTS PAYLI2441535 ,282.000000,,,
2019-01-23, COJEAN LAFFITTE PARIS 9 ,20.900000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-31, AMAZON PAYMENTS PAYLI2441535 Avoir ,,10.990000,,
2019-02-07, AMAZON PAYMENTS PAYLI2441535 ,107.020000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-26, TORCY FD TORCY ,94.800000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-28, EPIC STE S.P.N. PARIS ,38.500000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-24, AMAZON PAYMENTS PAYLI2441535 ,254.050000,,,
2019-01-31,RELEVE CARTE 23697515,-1028.180000,,,
2019-01-21, AMAZON PAYMENTS PAYLI2441535 ,279.900000,,,
2019-01-23, AMAZON PAYMENTS PAYLI2441535 ,500.000000,,,
2019-02-04, OVH ROUBAIX ,44.380000,,,
2019-02-15, AMAZON PAYMENTS PAYLI2441535 ,19.980000,,MATIERES ET FOURNITURES,Petit équipement France
2019-02-07, AMAZON EU SARL PAYLI2090401 ,59.990000,,MATIERES ET FOURNITURES,Petit équipement France
2019-02-14, AMAZON PAYMENTS PAYLI2441535 ,15.980000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-30, AMAZON PAYMENTS PAYLI2441535 ,11.990000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-28, AMAZON PAYMENTS PAYLI2441535 ,29.950000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-24, AMAZON PAYMENTS PAYLI2441535 ,13.990000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-22, AMAZON PAYMENTS PAYLI2441535 ,15.990000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-30, AMAZON EU SARL PAYLI2090401 ,239.600000,,MATIERES ET FOURNITURES,
2019-01-21, AMAZON PAYMENTS PAYLI2441535 ,10.990000,,MATIERES ET FOURNITURES,Petit équipement France
2019-02-19, LITTLE BREIZH PARIS ,32.300000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-02-12, RATP PARIS ,6.800000,,REMUNERATIONS PERSONNEL,Indemnités de transport
2019-02-14, NEW BALAL PARIS ,54.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-02-18, YONG FEI PARIS ,25.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-02-07, FREBE AUTO PARIS ,69.000000,,ENTRETIEN BIENS MOBIL,Entretien de véhicule
2019-02-11, LAURA ISSY LES MOU ,45.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-02-11, UBER 75 PARIS ,38.410000,,REMUNERATIONS PERSONNEL,Indemnités de transport
2019-02-06, PIZZA DEL ARTE MONTREUIL ,73.300000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-02-09, CARREFOUR CHELL CHELLES ,64.670000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-02-11, UBER *TRIP AD 800-592-8996 ,2.000000,,REMUNERATIONS PERSONNEL,Indemnités de transport
2019-02-04, LE PALINURO PARIS ,41.800000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-04,VIR SAID AMRANI 2018-12,-6000.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-01-10,VIR STA PORTAGE 201811,-10560.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-01-10,VIR STA PORTAGE 201810,-9504.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-03-15,PRLV SEPA DGFIP 220750560700069982830 IS-032019-2571,-15611.000000,,IMPOTS SUR LES BENEFICES,Impôts sur les sociétés 
2019-03-05,"ECH PRET CAP+IN 10934 201056 04 TAUX= 1,70000 INT= 375,82",-12987.810000,,CHARGES D'INTERETS,Intérêts emprunt 450 K€ 
2019-01-02,CHEQUE 2049100,-10328.560000,,LOCATIONS MOBILIERES,Locations Peugeot 3008
2019-03-29,RELEVE CARTE 22124388,-5306.960000,,,
2019-02-01, ELGI PARIS ,25.300000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-29, DEL ARTE PARIS ,34.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-30, LE PARIS SPORTS CHARENTON LE ,52.500000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-29, CAPWEST SAINT MALO ,551.930000,,VOYAGES ET DEPLACEMENTS,Frais déplacements salariés
2019-01-24, SNCF OUIGO PARIS LA DEF ,204.000000,,VOYAGES ET DEPLACEMENTS,Frais déplacements salariés
2019-01-24, DESSERTS REGAL PARIS ,47.650000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-24, LEROY MERLIN 19 PARIS ,29.190000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-24, LINA S PARIS 09 ,8.900000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-27, HOTEL FORMULE 1 ST MALO ,39.530000,,VOYAGES ET DEPLACEMENTS,Frais déplacements salariés
2019-02-05, AUCHAN LA DEFEN PUTEAUX ,100.780000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-02-07, AMAZON PAYMENTS PAYLI2441535 ,25.980000,,MATIERES ET FOURNITURES,Petit équipement France
2019-02-19, PARADIS DU FRUI PARIS ,50.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-02-12, LA PADELLA ISSY LES MX ,88.500000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-23, OVH ROUBAIX ,35.980000,,PUBLICITE RELATIONS PUBL,Publicité France 
2019-02-15, OFFICE DEPOT PARIS ,35.040000,,MATIERES ET FOURNITURES,Petit équipement France
2019-02-13, DEL ARTE PARIS ,44.600000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-07,VIR MALTEM SAU VIRT FACT INV-1241,,10929.600000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-02-08, LEROY MERLIN 19 PARIS ,73.550000,,MATIERES ET FOURNITURES,Petit équipement France
2019-02-05, SUBWAY PARIS 09 ,184.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-02-05, FRANPRIX PARIS ,12.640000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-24, FRANPRIX PARIS ,12.230000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-21, AMAZON PAYMENTS PAYLI2441535 ,15.180000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-31,PRLV SEPA AG2R REUNICA AG029000002595112 RETRAITE - AG2R REUNICA - 201812M - SIRET 80532165000030 -AG0290000025,-21567.880000,,CHARGES SOCIALES PERSONN,Cotisations Réunica
2019-01-10,VIR STA PORTAGE 201812-2,-2640.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-01-10,"FAC.CIC SGT19005200009898 DONT TVA 12,80EUR",-195.910000,,SERVICES BANCAIRES,Frais bancaires
2019-02-08, NEW BALAL PARIS ,84.000000,,FRAIS DE RÉCEPTIONS,Frais de réception
2019-01-07,PRLV SEPA SPB DEB-SPB-876-20181228-000026691929 ASSURANCE MOBILE SPB BOUYGUES TELECOM,-14.990000,,ASSURANCES,Assurance mobiles 
2019-01-07,PRLV SEPA SPB DEB-SPB-876-20181228-000026657097 ASSURANCE MOBILE SPB BOUYGUES TELECOM,-13.990000,,ASSURANCES,Assurance mobiles 
2019-02-18,PRLV SEPA BOUYGUES TELECOM B2K000186620575X000186620575B2K BOX,-27.580000,,FRAIS POSTE ET TELECOM,Frais de téléphonie
2019-01-11,PRLV SEPA CUBE CUBE FT12082-1 FACTURE FT12082 - PERIODE 201812,-280.900000,,FRAIS POSTE ET TELECOM,Frais de téléphonie
2019-03-11,VIR KAO F00004,-18000.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-02-02,VIR BLUESCALE 2018-10,-11880.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-02-02,VIR BLUESCALE 2018-11,-9720.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-01-04,VIR IFEO 2018-10,-9108.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-01-03,VIR OFII ZABER BILLEL,-1375.000000,,AUTRES IMPOTS ADMIN FISC,Taxe OFII 
2019-01-03,VIR OFII NAFAA MOHYIDDINE,-1375.000000,,AUTRES IMPOTS ADMIN FISC,Taxe OFII 
2019-01-25,PRLV SEPA TOTAL MS I0000000530673-010032518237492019 /INV/F9177485/0087263392 //20190117-SAGR4,-165.560000,,MATIERES ET FOURNITURES,Carburant
2019-01-15,PRLV SEPA ENGIE 880009265960 Z 300001929622-040012499444,-54.930000,,MATIERES ET FOURNITURES,Electricité 
2019-01-17,VIR TENDEM 18.11 & 18.12,-415.680000,,ENTRETIEN BIENS IMMOBIL,Entretien de biens immobiliers
2019-01-07,VIR MISTRA FORMATION 11/2018,-10140.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-02-26,CHEQUE 2164716,-900.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-01-07,PRLV SEPA SEFIA SEF/T005273743/74662536 F190003580,-543.040000,,LOCATIONS MOBILIERES,Locations Hyundai Tucson
2019-02-26,CHEQUE 2164715,-10997.000000,,IMPOTS REMUN AUTRES ORG,Taxe d'apprentissage
2019-01-02,VIR MAAF ASSURANCES SA 0309201805911281 VIRT 10 MAAF AS REMB192367366,,2205.500000,,
2019-01-29,VIR HIGHERLINK I05D19029L00415,-2750.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-01-24,CHEQUE 2164709,-397.320000,,MATIERES ET FOURNITURES,Petit équipement France
2019-01-24,VIR LUXORY 201811,-8645.640000,,INTERMED ET HONORAIRES,Honoraires  agents sécu-accueil
2019-01-10,PRLV SEPA MAAF ASSURANCES SA NUM 192367366 /REF 201830966277 COTISATION ASSURANCE 192367366,-7264.540000,,ASSURANCES,Assurance véhicule
2019-01-10,PRLV SEPA DAUCHEZ ADB GERANCE 9,-7519.540000,,LOCATIONS IMMOBILIERES,Locations immobilières Paris
2019-01-17,VIR GPE14 487 556,-431.480000,,,
2019-01-10,PRLV SEPA DAUCHEZ ADB GERANCE 11,-9676.240000,,LOCATIONS IMMOBILIERES,Locations immobilières Paris
2019-03-21,PRLV SEPA DGFIP 320750560OT8BKOGG6Z8ETQ539ZTMLTL2B PASDSN15032019-022019-80532165000030,-7624.000000,,DETTE FISCALE ET SOCIALE ,Tva
2019-01-21,PRLV SEPA NIT ENCAISSEMENTS PRL NO P03600-001-CE3096286 SOCIETE:TITRES DE SERVICES/FACTURES:1910018522/03600/D.EMISSION:2019-0,-193.560000,,AUTRES CHARGES PERSONNEL,Titres restaurants
2019-02-19,"VIR AGENCE NALE POUR LA FORM , .INV-1211 AFPA 24 AFPA SIA.GE SOCIAL",,11880.000000,,
2019-01-02,INTERETS/FRAIS,-2240.240000,,SERVICES BANCAIRES,Frais sur emprunts
2019-01-02,VIR COM CAUTIONS 01/01 DECOMPTE AVALS ET CAUTIONS ARRE,-25.700000,,SERVICES BANCAIRES,Frais bancaires
2019-01-07,CHEQUE 2164706,-1200.000000,,ETUDES ET PRESTATIONS,Achats d'études France
2019-02-28,VIR AMETIX AMETIX INV-1311 ADBI 12/18 ZABER,,7872.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-02-18,VIR VERALLIA PACKAGING 0018000573 /INV/INV-1322 31.12.2018,,4452.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-01-31,PRLV SEPA CREDIPAR 101M1728957 101M1728957 32 310119 VOTRE IDENTIFIANT ESPACE CLIENT : NOTRE SITE :,-494.680000,,LOCATIONS MOBILIERES,Locations Peugeot 3008
2019-02-06,PRLV SEPA FREE TELECOM FHD 851122695 FREE HAUTDEBIT 851122695,-39.990000,,FRAIS POSTE ET TELECOM,Frais de téléphonie
2019-03-12,CHEQUE 2164712,-6049.200000,,INTERMED ET HONORAIRES,Honoraires comptables
2019-02-01,VIR SALAIRE 01/19 R.GUERRIER,-1152.230000,,REMUNERATIONS PERSONNEL, Salaires bruts
2019-01-24,PRLV SEPA NIT ENCAISSEMENTS PRL NO P03602-001-CE3096286 SOCIETE:TITRES DE SERVICES/FACTURES:1910020694/03602/D.EMISSION:2019-0,-193.560000,,AUTRES CHARGES PERSONNEL,Titres restaurants
2019-01-21,PRLV SEPA CHATEAUDEAU SAS 101/4977/C609143 CUSTOMER 609143,-6.000000,,MATIERES ET FOURNITURES,Petit équipement France
2019-02-04,BD FRANCE BUSINESS DECISION FRAN,,9324.000000,VENTES PRESTATIONS SERV,Prestations services prod.
2019-01-31,VIR ADAMI 1901308057,,9000.000000,VENTES PRESTATIONS SERV,Prestations services prod.
